entry_num,name_arabic,family_type,death_text,places,roles,texts,word_count,full_arabic_text
674,( فاطمة ) المدعوة ستيتة وربما يقال لها ناجية ابنة,,,"Makkah,Cairo,Fez,Aden","writer,virtuous","صحيح,الحكم",2029,"$ 674 ( فاطمة ) المدعوة ستيتة وربما يقال لها ناجية ابنة
القاضي كمال الدين محمود ابن ابن شيراين الحنفي . ولدت كما كتبته لي بخطها
في سادس المحرم سنة خمس وخمسين وثمانمائة بالقاهرة ويظهر أنه قبل ذلك ونشأت
فتلعمت الكتابة وما تيسر ، وتزوجت الناصري محمد بن الطنبغا واستولدها
ابنتها فاطمة وغيرها ثم مات عنها فتزوجها العلاء علي بن محمد بن بيبرس حفيد
ابن أخت الظاهر برقوق فاستولدها بيبرس ولاحظ لها في ذلك مع براعتها في
النظم وحسن فهمها وقوة جنانها حتى كانت فريدة فيما اشتملت عليه ، وقد حجت
سنة أربع وثمانين سنة حج الملك ثم سنة ست وثمانين ثم سنة أربع وتسعين
وجاورت في هذه بجوارنا ثم في سنة ثمان وتسعين مع ابنها وجاورا في التي
تليها ومما كتبت به إلى بعد مجيء الخبر بموت أخوى من نظمها :
# %~% قفا واسمعا منى حديث أحبتى %~% فأوصاف معناهم عن الحسن جلت %~%
# %~% أناس أطاعوا الله نارت قلوبهم %~% وأبصرت الاشياء من غير نبأة %~%
# %~% وقدكوشفوا عن كل ما أضمر الفتى %~% ونارت قلوب منهم ببصيرة %~%
# %~% ينفعنى الله العظيم بمن لهم %~% براهين قد أبصرتها عن حقيقة %~%
# %~% تناهت إلى أن كدت أبغى سؤالها %~% فتبدأنى اذ ذاك "
980,( أم هانئ ) ابنة العلامة نور الدين أبي الحسن علي بن القاضي,mother/kunya,"إحدى
وسبعين","Makkah,Egypt,Yemen","hadith_transmitter,hadith_student,ijaza_recipient,reader,memorizer,righteous,virtuous","البخاري,صحيح",410,"$ 980 ( أم هانئ ) ابنة العلامة نور الدين أبي الحسن علي بن القاضي
تقي الدين عبد الرحمن ابن عبد المؤمن بن عبد الملك الهورينية الأصل المصرية
الشافعية وتسمى مريم أيضا وهي سبطة القاضي فخر الدين محمد بن محمد القاياتي
. ولدت في يوم الجمعة ليلة نصف شعبان سنة ثمان وسبعين وسبعمائة بمصر واعتنى
بها جدها لأمها فأسمعها بمكة في سنة خمس وثمانين على النشاوري الكثير وعلى
أبي العباس بن عبد المعطي والشهاب بن ظهيرة والمحب الطبري المتأخر وبمصر
على ابن الشيخة والسويداوي والنجم بن رزين والصلاح الزفتاوي وابن أبي زبا
وسمعت منه نفسه ومن البدر بن الصاحب وآخرين ، وأجاز لها العراقي والهيثمي
وابن الملقن وابن حاتم والعزيز المليجي والصردي وأبو اليمن بن الكويك
والصلاح البلبيسي والبرهان الآمدي والابناسي والمجد إسماعيل الحنفي
والغماري وغيرهم ؛ وتزوجت بالحسام محمد بن الركن عمر بن قطلوبغا البكتمري
فولدت له شجاع الدين محمدا الشافعي ثم سيف الدين محمدا الحنفي ثم فاطمة ثم
الشرف يونس المالكي ثم منصور الحنبلي واشتغل كل من المذكورين وتمذهب لما
وصف به ومهر من بينهم الحنفي ومات الحنبلي وهو صغير وكان غاية في الذكاء
بحيث قيل قتله ذكا"
482,( عائشة ) ابنة علي بن محمد بن علي ms4314 بن عبد الله بن أبي الفتح بن هاشم,,,"Cairo,Egypt,Hebron","hadith_transmitter,reader,memorizer,writer,righteous,virtuous",السيرة,381,"$ 482 ( عائشة ) ابنة علي بن محمد بن علي ms4314 بن عبد الله بن أبي الفتح بن هاشم
بن إسماعيل بن إبراهيم بن نصر الله بن أحمد أم عبد الله وأم الفضل المدعوة
ست العيش ابنة العلاء أبي الحسن الكناني القاهرية الحنبلية الماضي ولدها
العز أحمد وشقيقها عبد الله وهما سبطا أبي الحرم القلانسي أمهما سودة .
ولدت في سنة إحدى وستين وسبعمائة بالقاهرة وأحضرت على جدها لأمها أبي الحرم
خمسة مجالس من ثمانية من الفوائد الغيلانيات وعلى العز أبي عمر بن جماعة
والموفق الحنبلي الأولين من فوائد ابن بشران وعلي أولهما فقط قطعة من مسند
الشافعي وعلى الحراوي المجلس الاول من فضل الخيل للدمياطي في آخرين . وأجاز
لها ابن قاضي الجبل والخلاطي وجماعة من الشاميين والمصريين وقرأت بعض
القرآن وتعلمت الخط وحدثت سمع عليها الأئمة ، وخرج لها الزين رضوان جزءا
فيه عشاريات وتساعيات مبتدئا بالمسلسل ، وذكرها شيخنا في معجمه فبين بعض
مرويها ، وقال في أنبائه أكثر عنها الطلبة بآخره وكانت خيرة وتكتب خطبا
جيدا ، وكذا ذكرها المقريزي في عقوده وقال كانت امرأة خيرة صالحة تكتب
كتابة حسنة ولها فهم مليح انتهى ، وكانت خيرة صالحة فاضلة كاتبة للمنسوب
حسبما ر"
208,( رقية ) ابنة الشرف محمد بن المسند أبي الحسن على بن محمد بن هرون,,,"Cairo,Egypt,Damascus,Aleppo,Fez",ijaza_recipient,,315,"$ 208 ( رقية ) ابنة الشرف محمد بن المسند أبي الحسن على بن محمد بن هرون
بن محمد بن هرون بن علي بن حميد الثعلبي الدمشقية الأصل القاهرية ويعرف
أبوها وجدها بابن القارئ من بيت حديث بل عمها أبو الفرج عبد الرحمن مسند
القاهرة وهي زوج القطب عبد الكريم بن محمد بن الحافظ القطب الحلبي . ذكرها
شيخنا في معجمه وقال ذكر لي حميد الدين حماد التركماني أنه وقف على استدعاء
فيه اسمها وأن من جملة من أجاز لها يحيى بن يوسف بن المصري فاستجزت منهاعلى
يد بعض أصحابنا وكتب عنها فشاع ذلك من يومئذ وقرأ عليها بعض أصحابنا ثم
أكثروا عنها فلما كان في سنة سبع وعشرين حضرت عندي في محاكمة فرأيتها تامة
القامة مستوية العقل وذكر لي أهلي أنه لم يظهر عليها الكبر وان أكثر ما
يمكن أن يكون سنها ما بين الستين والسبعين فتوقفت في الرواية عنها لذلك
وجوزت أن يكون حماد وهم فانه لو صحت إجازتها من ابن المصري لا قتضى أن يكون
مولدها سنة ست وثلاثين وهي السنة التي مات فيها وتكون قد جازت التسعين
وأيضا فان زوجها لم يدرك اجازة ابن المصري وأن كان ولد في سنة وفاته فالله
أعلم بحقيقة الحال ، ثم وضح لي بطلان الاجازة وان الامر اشتبه على حماد
فوقفت على ا"
807,( هاجر ) وتسمى عزيزة - لكنه هجر - ابنة محمد بن محمد بن أبي بكر بن,,,Jerusalem,reader,,312,"$ 807 ( هاجر ) وتسمى عزيزة - لكنه هجر - ابنة محمد بن محمد بن أبي بكر بن
عبد العزيز بن محمد بن إبراهيم بن علي بن أبي الطاعة المكثرة أم الفضل ابنة
المحدث الشرف أبي الفضل القدسي الاصل القاهري الشافعي الماضي . ولدت في
ربيع الأول سنة ms4378 تسعين وسبعمائة بعد وفاة أخت لها كانت تسمى باسمها ولذا
ميزت هذه بالاسم الثاني ، اعتنى بها أبوها فأحضرها وأسمعها الكثير جدا من
عوالي الاجزاء والمشيخات والاربعينات والفوائد والكتب ولكن غاب عنا حصره
وحصلت منه بالتتبع جملة ، وصارت بأخرة أسند أهل عصرها وتزاحم عليها الطلبة
وكنت ممن حمل عنها قديما أشياء قليلة استغناء عنها خصوصا وقد كانت على نمط
كثير من العجائز في عدم التحجب ونحوه ثم حسن حالها وقرأت عليها سائر ما
وقفت عليه لأجل الولد وغيره ، ولشدة فاقتها لم تكن تمتنع من تناول ما ترتفق
به في معيشتها بل ربما طلبت المزيد ، ومن شيوخها بالسماع أو الحضور التنوخى
والامدي والابناسي والشهاب بن الكشك وابن المنفر والسويداوي والولي العراقي
وأبوه الزين وابن بنين والمجد إسماعيل الحنفي والزين المراغي والشرف أبو
بكر بن جماعة والزين أبو بكر النشائي وسارة ابنة السبكي وستيته ابنة ا"
261,( زينب ) ابنة العلاء على بن العالم البدر محمد الحنفي الماضي أخوها,,,,narrator,,299,"$ 261 ( زينب ) ابنة العلاء على بن العالم البدر محمد الحنفي الماضي أخوها
خليل وجدهما وتعرف بابنة ابن خاص بك . تزوجها اينال الأجرود في إمرته في
حدود سنة خمس وعشرين وثمانمائة بعد أخت لها ماتت تحته ولم ينفك عنها ولا
بعد تملكه حتى مات ولم يتزوج عليها بل ولا تسرى وكل أولاده المؤيد أحمد
وغيره PageV12P044 منها بحيث انفرد عن سائر الملوك بذلك كما انفردت هي عن
سائر الخوندات بالمزيد من نفوذ الكلمة ووفور الحرمة وطواعية السلطان جدا
لأوامرها حتى كان لا اختيار له معها ، وحجت في أيام عزها فكان أمرا زائدا
على الحد وعوفيت من مرض مرة فطلعت من بيتها ببولاق إلى القلعة في محفة وكل
من ولدها وصهريها الداودار الكبير والثاني والزمام والخازندار بحواشيهم
وغيرهم أمام محفتها وآخرون من الخدام والخدم والمماليك بجوانبها وخلفها إلى
غير ذلك من الخوندات ونساء الأمراء والمشاعل والشموع والفوانيس وا لأمر في
عظمتها فوق هذا كله ، وتوصل بها أوضعاء فمن دونهم إلى ما لا يليق بهم
بالبذل والخدم . وتزايدت ثروتها إلى ms4274 حد لا يخصر وأنشأت الدور الكثيرة وعملت
رباطا حسنا للأرامل بالقرب من زاوية بني وفا في حارة عبد الباسط وأضيف
إليها "
450,( عائشة ) ابنة الصارم إبراهيم بن خليل بن عبد الله بن محمود بن,,"اثنتين
وأربعين","Cairo,Damascus,Zabid,Baalbek","hadith_transmitter,hadith_student,ijaza_granter,ijaza_recipient,righteous",البخاري,267,"$ 450 ( عائشة ) ابنة الصارم إبراهيم بن خليل بن عبد الله بن محمود بن
يوسف ابن تمام أم عبد الله الزبيدية من بني السموءل السنجارية الأصل
البعلية ثم الدمشقية أخت الجمال عبد الله الحافظ وأي ملك وتعرف كسلفها
بابنة الشرائحي ، ولدت في حدود سنة ستين وسبعمائة بدمشق وأسمعت الكثير من
أصحاب الفخر بن البخاري وغيرهم بدمشق والقاهرة وبعلبك كابن أميلة والصلاح
بن أبي عمر ومحمود المنبجي وأحمد بن عبد الكريم البعلي وأبي المحاسن يوسف
بن عبد الله الحبال وابن المحب ويوسف بن الصيرفي فمن ذلك في سنة تسع وستين
على الأول أبو داود والترمذي ومشيخة الفخر وعلى الثالث ms4308 الذرية الطاهرة
للدولابي وعلى الرابع مشيخة شيخه الشرف علي بن محمد اليونيني تخريج ابن أبي
الفتح وعلى الخامس جزء المناديلي وما بآخره وعلى الأخير المسلسل بالأولية
أنا ابن المهتار أنا ابن الصلاح وأجاز لها الخلاطى وابن الجوخي ومحمد بن
موسى بن السيرجي وابن السوقي وبان النجم وزغلش وبان الهبل وعمر بن إبراهيم
النقبي وزينب ابنة الدماميسي وابن نباتة وابن قواليح وآخرون ، وحدثت
بالكثير سمع منها الأئمة كشيخنا وذكرها في معجمه فقال ويقال لها أي ملك
سمعت معنا على بعض"
144,( خديجة ) ابنة أمير حاج بن البيسري نسبة للامير بدر الدين الشمسي,,ثمان وتسعين,Damascus,writer,,256,"$ 144 ( خديجة ) ابنة أمير حاج بن البيسري نسبة للامير بدر الدين الشمسي
الصالحي صاحب الدار الكبيرة بين القصرين المعروفة بالبيرسية وأحد الأمراء
المشهورين بل وممن ذكر للسلطنة والمتوفي سنة ثمان وتسعين وستمائة . كانت قد
تزوجت ثالث زوج بالنجم بن حجى وذبح بدمشق عندها ثم تزوجها بعده البدر ابن
مزهر واستولدها الزيني أبا بكر ولم يلبث أن مات فتزوجها سعد الدين إبراهيم
ابن المرة ناظر جدة واستولدها ايضا وحجت معه وجاورت ومات معها ثم بعد دهر
تزوجها العلم البلقيني ومات أيضا معها وكانت أحد الاسباب في اقامته في
المنصب الايام الاينالية لمزيد اختصاصها بخوند العظمى ، ثم لم تتزوج بعده
بل PageV12P025 أقامت في ظل ولدها ورأت من العز به ما يفوق الوصف وكان زائد
البر بها وحجت معه تلك الحجة الرجبية الهائلة وانتفع الناس بشفاعتها
وسفارتها عنده وعند غيره وكثر المنتمى اليها من العجائز والفقراء ونحوهما
وابتنت رباطا للارامل إلى غيره من الدور والقرب ، وكانت تنطوى على دين
ورياسة وابعاد لمن يذكر بفحش ms4251 . ماتت بالبطن في عصر يوم الخميس سادس عشر
رمضان سنة ثمان وسبعين عن نحو السبعين فأكثر بعد أن توعكت نحو ثلاثة أشهر
وصرعت ، "
495,( عائشة ) ابنة محمد بن عبد الهادي بن عبد الحميد بن عبد الهادي بن,,ست,"Damascus,Zabid","hadith_student,ijaza_granter,narrator","البخاري,صحيح,مسلم",253,"$ 495 ( عائشة ) ابنة محمد بن عبد الهادي بن عبد الحميد بن عبد الهادي بن
يوسف ابن محمد بن قدامة بن مقدام مسندة الدنيا أم محمد القرشي العمري
المقدسي الصالحي ؛ ولدت في رمضان سنة ثلاث وعشرين وسبعمائة وأسمعت على
الحجار والشرف عبد الله بن الحسن وعبد القادر بن الملوك وخلق ، فمما سمعته
على الاول الصحيح وعلى الثاني صحيح مسلم وعلى الثالث سيرة ابن هشام ، وأجاز
لها ابن الزراد واسمعيل بن عمر بن الحموي وست الفقهاء ابنة الواسطى ويحيى
ابن فضل الله والبرهان الجعبري والبرهان بن الفركاح وأبو الحسن البندنيجي
وعبد الله بن محمد بن يوسف والشرف بن البارزي وابراهيم بن صالح بن العجمي
وآخرون ، وعمرت حتى تفردت عن جل شيوخها بالسماع والاجازة في سائر الآفاق
وروت الكثير وأخد عنها الأئمة سيما الرحالة فأكثروا ، وكانت سهلة في
الاسماع لينة الجانب حدثنا عنها خلق والرواة عنها الآن بالاجازة كثيرون
وأما بالسماع ففي الشام بل والخطيب بن أبي عمر الحنبلي سمع منها بعض ذم
الكلام للهروى وممن أكثر عنها شيخنا وذكرها في معجمه وقال إنها ماتت في
ربيع الأول سنة ست عشرة يعنى بصالحية دمشق بعد أن أجازت لزين خاتون ms4318 ورابعة
ومحمد اولاده ،"
291,( زينب ) ابنة الكمال محمد بن الناصر محمد بن محمد بن عثمان بن,,,Zabid,,"صحيح,السيرة",250,"$ 291 ( زينب ) ابنة الكمال محمد بن الناصر محمد بن محمد بن عثمان بن
البارزي والدة النجم يحيى وزبيدة ابني البهاء بن حجي وخالة الكمال ناظر
الجيش وأخوية وسبطة ناصر الدين بن العطار أخي الشرف يحيى ، أمها فاطمة
ولزينب أخت أصغر منها ستأتي أسمها فاطمة أمها سارة ابنة ابن العطار فهما مع
كونهما ms4279 اختين ابنتا خالة فالكمال تزوج الأختين واحدة بعد أخرى . ماتت في
يوم الجمعة قبل الصلاة حادي عشري المحرم سنة خمس وسبعين وكانت توجهت في
اليوم الذي قبله لملاقاة أختها المشار اليها زوجة أمير الحاج يشبك الجمالي
المحتسب فحصل لها فالج قبيل الوصول إلى البركة لم يكن يعتريها فحملت إلى
الخام فلم تفق فرجعوا بها في محفة ليلا فماتت عقب وصولها وصلى عليها عصر
يوم الجمعة بالأزهر ثم دفنت بجوار ضريح الشافعي في تربتهم وتأسف ولدها
عليها جدا ، وكانت قارئة للقرآن حسنة المطالعة للصحيحين والسيرة النبوية
ونحوها كثيرة العبادة والمحبة في الأيتام والأرامل تأيمت بعد البهاء أبي
ولديها عليهما فلم تتزوج بل رام المناوي التزوج بها وتوسل اليها بالشيخ
مدين لمزيد اعتقادها فيه وكون ابن اخته كالفقيه لها فأبى ولدها ذلك لكونه
كان حينئذ ملتفتا "
